,ProductID,BatchNumber,ProductionDate,Defective,Weight,Length
392,393,16,2023-10-11,0,487.0208814510437,16.88654747465052
398,399,10,2024-02-26,0,467.1689209029597,14.54316076740174
429,430,9,2024-07-05,0,512.1044271666372,10.772136102648512
456,457,16,2023-09-05,0,470.3504807851475,16.930719337938243
469,470,10,2023-10-18,0,494.1457580811572,14.31784158092798
477,478,10,2024-04-17,0,492.4547108903575,18.18485141466944
497,498,10,2023-12-30,0,491.98330579464096,13.260269048203654
500,501,12,2023-10-19,0,514.575630425232,16.312519117040775
506,507,10,2023-08-16,0,502.1763054182842,15.083355029784205
513,514,12,2024-03-06,0,515.7725866613148,18.229592758172053
537,538,16,2023-08-22,0,488.50024325265065,13.253367322498772
572,573,2,2023-10-03,0,501.306112106767,14.457479969536152
579,580,10,2023-08-11,0,483.7439579832222,15.828811753433948
600,601,12,2024-03-03,0,463.2086642806404,18.71870254598849
603,604,12,2024-03-23,0,503.73958828938095,10.12507108446828
606,607,10,2024-01-29,0,511.0756238885322,15.37064676679677
613,614,9,2024-01-16,0,516.2217935330905,12.368433902031123
616,617,16,2023-10-25,0,488.2524986690155,14.781353566040968
634,635,10,2023-08-02,0,498.21915761007,15.58919882353474
640,641,12,2023-12-16,0,502.8787446875907,16.916416200558434
649,650,16,2023-12-07,0,507.90873927860576,18.41117260497362
656,657,12,2024-06-23,0,480.92278076491664,15.297932761397176
670,671,9,2023-12-31,0,491.2328766766648,16.994786122944205
677,678,9,2023-08-10,0,498.019105966192,15.58456547408476
693,694,2,2024-01-17,0,538.1319736541224,15.27444954851272
704,705,9,2023-10-06,0,528.6288649419316,14.776677246117249
723,724,2,2023-12-16,0,493.9513368600514,14.624735096935202
755,756,2,2023-11-13,0,518.5338245104908,15.098079291580012
758,759,10,2024-02-17,0,500.99059103735976,13.712811880016227
762,763,9,2024-03-30,0,513.2673833323481,15.007818041436806
774,775,9,2024-02-05,0,487.4540187737088,16.265362220533046
782,783,9,2023-08-14,0,489.7830540348321,16.564561219195568
785,786,16,2024-05-01,0,502.7957449339845,17.801555290960362
796,797,12,2023-12-08,0,466.14177103228775,15.492783952727926
813,814,16,2024-05-25,0,499.63252541757953,17.220344065702534
820,821,12,2024-03-24,0,520.8897890010161,14.119430802796913
827,828,2,2024-07-15,0,488.75496749837095,14.653158275150874
832,833,2,2023-09-04,0,483.3096392938395,16.57618473471352
835,836,16,2023-12-16,0,477.1175384062456,16.815605221252596
836,837,16,2024-03-24,0,499.08224108977424,14.267705969495854
854,855,2,2024-04-21,0,513.0878684178177,15.3859645418674
862,863,10,2024-06-13,0,485.9050297643509,16.308348856909546
868,869,10,2023-09-30,0,512.5922297941088,14.89417093470709
871,872,12,2024-01-10,0,512.3684341771025,16.40301425787984
884,885,10,2024-06-27,0,526.0954637250452,12.43085867656322
891,892,2,2024-03-16,0,497.8248291678616,16.1468323807995
895,896,10,2024-04-03,0,494.4377852236806,18.644785022590405
925,926,12,2023-11-26,0,519.5746020144501,15.632320400792954
930,931,10,2023-09-12,0,500.0068191586736,17.832371372651732
935,936,10,2024-05-17,0,505.34967726117134,15.806328600157515
939,940,9,2024-05-22,0,521.4500169456751,15.35142582690247
954,955,16,2024-03-21,0,473.7521172797836,15.500907093799814
960,961,12,2023-09-07,0,510.7406909534931,16.132626588639866
968,969,12,2023-11-25,0,494.7888031190575,15.6652877322877
973,974,10,2023-08-14,0,502.1458267131932,13.721426643494894
989,990,9,2024-05-01,0,530.1901783826212,14.36251029311804
998,999,9,2023-08-28,1,521.4125666086633,14.854907454819106
