,Colors,satisfaction_levels,temperature,income
172,Red,Low,66,342982
173,Green,Low,47,437136
174,Yellow,Medium,17,361014
175,Red,High,20,378915
176,Crimson,Medium,38,506814
177,Green,Medium,64,384314
178,Green,Medium,6,384131
179,Purple,Low,22,388040
180,Red,Low,79,635084
181,Red,Low,74,364792
182,Crimson,Medium,34,779613
183,Yellow,High,40,253998
184,Crimson,Medium,38,875560
185,Yellow,Medium,21,362893
186,Purple,Low,34,174610
187,Crimson,Low,32,542574
188,Crimson,Medium,42,381938
189,Red,High,44,638587
190,Crimson,Low,99,140317
191,Red,High,41,794240
192,Purple,High,27,946232
193,Yellow,Medium,48,23640
194,Crimson,Medium,10,996131
195,Purple,Medium,68,448879
196,Red,High,17,13912
197,Yellow,Low,3,191658
198,Crimson,Low,94,999634
199,Crimson,Medium,87,31752
200,Green,Low,29,788420
201,Crimson,High,30,856147
202,Purple,High,75,492284
203,Crimson,Low,66,542285
204,Crimson,High,93,456222
205,Green,High,60,968304
206,Green,High,7,943124
207,Green,Medium,51,247507
208,Crimson,Medium,73,80381
209,Yellow,Low,87,326412
210,Yellow,Low,64,774502
211,Purple,Low,17,341213
212,Crimson,High,40,864905
213,Green,High,21,101757
214,Yellow,Medium,94,637531
215,Crimson,Medium,26,183584
216,Green,Low,15,947112
217,Purple,Low,17,998061
218,Yellow,High,10,626597
219,Yellow,Medium,17,371582
220,Red,Medium,3,649001
221,Green,High,73,380128
222,Red,Low,29,682700
223,Purple,Medium,67,11913
224,Red,Medium,71,455302
225,Crimson,Medium,80,23429
226,Yellow,Medium,98,134349
227,Red,Medium,4,286051
228,Red,High,61,831921
229,Green,High,90,413304
230,Green,High,6,125616
231,Red,Low,32,680948
232,Crimson,Medium,81,834827
233,Red,High,37,70155
234,Crimson,Medium,27,655241
235,Red,Medium,51,703574
236,Purple,Medium,78,272613
237,Purple,Medium,59,53295
238,Red,Low,86,84253
239,Green,High,95,650839
240,Crimson,High,8,175560
241,Purple,Low,56,703400
242,Crimson,Medium,29,420191
243,Yellow,Medium,28,638777
244,Green,Low,95,258082
245,Green,Low,34,156984
246,Yellow,Low,58,955590
247,Green,High,81,354271
248,Purple,Medium,92,811547
249,Yellow,High,16,391094
250,Purple,Medium,72,614271
251,Purple,High,59,193645
252,Yellow,Low,7,235273
253,Crimson,High,12,261009
254,Crimson,Low,32,467439
255,Green,Medium,84,773766
256,Yellow,Medium,75,545340
257,Purple,Medium,93,919528
258,Crimson,Low,40,25741
259,Crimson,Low,0,853800
260,Green,Low,84,104275
261,Green,Low,92,316130
262,Green,Low,77,277247
263,Green,Low,37,656915
264,Yellow,Medium,47,569338
265,Red,Low,61,404956
266,Crimson,High,50,327414
267,Green,High,68,677939
268,Purple,Medium,76,343526
269,Crimson,Medium,57,383758
270,Green,Medium,4,188877
271,Green,High,36,685525
272,Yellow,Medium,80,143847
273,Red,Medium,82,749883
274,Red,Low,37,565040
275,Yellow,Medium,94,885531
276,Purple,High,35,220536
277,Red,Medium,48,81892
278,Purple,Medium,0,568218
279,Crimson,Low,49,56774
280,Crimson,Low,57,300795
281,Red,Medium,9,335029
282,Red,Medium,50,157069
283,Crimson,High,97,468396
284,Crimson,Medium,48,895359
285,Red,High,12,894200
286,Crimson,High,70,608786
287,Red,Medium,36,73003
288,Yellow,High,99,358115
289,Green,High,36,437225
290,Red,Low,30,184743
291,Purple,Medium,19,473155
292,Red,Medium,38,814014
293,Crimson,Medium,44,826276
294,Purple,High,35,94917
295,Purple,Medium,14,48429
296,Green,Medium,29,353619
297,Red,Medium,51,872755
298,Yellow,High,60,92727
299,Purple,Low,81,332953
300,Purple,Medium,67,667481
301,Yellow,Low,29,710713
302,Purple,Medium,27,755347
303,Crimson,Medium,3,669246
304,Yellow,High,33,575978
305,Crimson,Low,51,229058
306,Red,High,27,746108
307,Red,Low,56,85523
308,Red,High,21,781871
309,Crimson,Low,39,123417
310,Purple,High,74,398490
311,Purple,Low,29,136491
312,Yellow,Low,29,92119
313,Yellow,Low,61,502967
314,Purple,Low,58,146253
315,Green,Medium,24,53349
316,Crimson,High,16,217650
317,Crimson,Low,64,183986
318,Crimson,Low,98,211816
319,Green,Medium,13,606001
320,Yellow,High,1,516501
321,Yellow,Medium,2,204792
322,Crimson,Low,66,211471
323,Yellow,Low,19,917300
324,Crimson,Low,76,388624
325,Purple,Low,30,319538
326,Purple,Low,39,214997
327,Yellow,Medium,85,273038
328,Green,Low,77,597701
329,Yellow,High,49,130062
330,Red,High,26,451424
331,Crimson,High,12,433358
332,Red,Low,64,305048
333,Yellow,Low,1,954317
334,Purple,High,36,442257
335,Crimson,Low,10,856033
336,Yellow,High,32,625792
337,Green,High,28,122931
338,Yellow,Low,58,613512
339,Green,Medium,66,341099
340,Purple,Medium,92,354232
341,Green,Medium,65,540292
342,Red,Low,77,438836
343,Red,Low,83,907200
344,Red,Medium,47,576809
345,Red,Low,81,751699
346,Red,Low,36,853623
347,Green,Medium,71,592140
348,Red,High,53,111490
349,Crimson,High,70,294446
350,Green,Low,9,490285
351,Purple,High,15,617985
352,Green,Medium,18,586801
353,Yellow,Medium,29,772002
354,Purple,High,53,195617
355,Red,Medium,60,129005
356,Red,High,42,555277
357,Yellow,High,82,143634
358,Red,Medium,2,687957
359,Purple,High,29,166556
360,Purple,Low,17,219781
361,Purple,Low,35,889357
362,Green,High,19,973906
363,Green,Medium,16,103807
364,Purple,Medium,23,524139
365,Green,High,12,545893
366,Green,High,99,895159
367,Crimson,Medium,56,398647
368,Green,Low,66,730843
369,Crimson,High,20,103846
370,Crimson,Low,3,398510
371,Green,High,81,202145
372,Green,Low,44,131542
373,Green,High,38,633559
374,Red,Medium,42,243746
375,Crimson,High,74,379500
376,Red,Medium,37,294715
377,Purple,Low,40,981859
378,Green,Medium,27,698561
379,Purple,Medium,4,88633
380,Red,High,51,98157
381,Crimson,High,22,531390
382,Yellow,Low,37,486565
383,Green,Medium,35,792537
384,Purple,Low,30,841321
385,Purple,Low,7,356610
386,Purple,Low,88,368880
387,Red,High,88,351979
388,Red,Low,15,878681
389,Yellow,Medium,10,488748
390,Red,Low,19,812795
391,Crimson,High,77,428001
392,Crimson,Medium,56,459129
393,Purple,Low,18,73418
394,Green,Medium,71,439952
395,Purple,High,60,886502
396,Crimson,Low,24,731936
397,Crimson,Low,32,606074
398,Crimson,Low,39,67508
399,Purple,High,16,625006
400,Yellow,Medium,52,935208
401,Green,Low,90,344452
402,Yellow,Low,80,838611
403,Yellow,Low,46,560195
404,Green,Low,96,710552
405,Crimson,Medium,94,150216
406,Crimson,High,84,793195
407,Purple,High,23,955245
408,Purple,Medium,15,782846
409,Yellow,Low,44,334695
410,Green,Medium,83,247728
411,Green,Medium,55,405411
412,Red,Medium,98,407896
413,Red,Medium,27,458967
414,Yellow,Medium,45,691047
415,Purple,Medium,98,848669
416,Crimson,High,81,369738
417,Crimson,High,87,392545
418,Yellow,Medium,27,834440
419,Green,Medium,77,675460
420,Red,Medium,48,332487
421,Purple,High,87,53723
422,Green,Low,94,764396
423,Purple,Low,5,719540
424,Purple,Low,97,460841
425,Yellow,Medium,98,842288
426,Red,Low,28,623802
427,Red,Medium,65,742942
428,Crimson,Low,68,162022
429,Green,High,85,937004
430,Green,High,72,771108
431,Red,Medium,33,763618
432,Purple,Low,99,586836
433,Crimson,Low,48,318758
434,Crimson,Low,99,130035
435,Purple,Low,89,688778
436,Crimson,Low,69,846179
437,Purple,High,65,567703
438,Crimson,Medium,99,546520
439,Red,Low,71,944461
440,Crimson,High,1,639389
441,Crimson,Low,1,113941
442,Green,High,71,854032
443,Crimson,Medium,25,168856
444,Purple,Low,77,185311
445,Red,Low,50,778463
446,Crimson,High,27,501445
447,Red,Medium,96,899995
448,Red,High,43,379668
449,Crimson,High,19,49335
450,Green,Medium,98,440428
451,Yellow,Low,45,193213
452,Crimson,Low,80,203818
453,Yellow,High,43,174426
454,Crimson,Medium,67,457470
455,Red,Medium,8,279745
456,Crimson,Low,83,562155
457,Yellow,Low,46,283203
458,Red,High,64,76275
459,Crimson,Low,20,424482
460,Green,Medium,96,758917
461,Purple,High,98,146482
462,Crimson,High,5,320835
463,Green,Medium,85,714158
464,Yellow,Low,24,92357
465,Green,Low,2,341578
466,Purple,Medium,71,628411
467,Green,Low,75,683591
468,Crimson,Low,28,19724
469,Green,High,95,781068
470,Crimson,Low,65,819746
471,Yellow,Low,80,731837
472,Purple,Medium,82,561767
473,Green,Medium,14,297169
474,Purple,Medium,21,676950
475,Green,Medium,69,720122
476,Purple,Medium,33,742213
477,Green,Medium,2,828270
478,Yellow,High,27,28491
479,Yellow,Low,19,24672
480,Crimson,High,15,888234
481,Green,Low,71,105868
482,Yellow,Medium,29,751539
483,Yellow,Low,35,677194
484,Purple,High,97,223937
485,Yellow,Low,48,465786
486,Yellow,Low,49,83929
487,Crimson,Medium,80,853052
488,Red,High,56,224797
489,Purple,Medium,63,320137
490,Yellow,Medium,88,994902
491,Red,Medium,58,379190
492,Red,Low,5,898487
493,Yellow,Low,51,140061
494,Crimson,High,61,862871
495,Green,Low,83,549640
496,Crimson,Low,17,991526
497,Yellow,High,45,810729
498,Purple,Medium,96,146968
499,Green,High,62,546291
500,Green,High,22,869910
501,Yellow,Low,97,820193
502,Yellow,High,9,183511
503,Purple,High,5,139492
504,Crimson,Low,76,113897
505,Purple,High,61,616146
506,Yellow,Medium,42,630092
507,Purple,Low,16,399520
508,Yellow,Medium,59,62280
509,Green,High,17,901762
510,Purple,Medium,68,439805
511,Red,Medium,60,356775
512,Green,Low,25,935976
513,Red,Medium,14,994068
514,Yellow,Medium,61,569716
515,Red,Medium,53,334588
516,Crimson,High,81,340033
517,Yellow,Low,29,233575
518,Red,Medium,70,97582
519,Yellow,Medium,28,410950
520,Crimson,Low,74,231337
521,Red,Medium,5,300580
522,Red,High,84,296049
523,Green,Low,55,36981
524,Red,Medium,50,872905
525,Red,High,86,579751
526,Yellow,Medium,53,238763
527,Crimson,High,10,600877
528,Purple,Medium,43,291505
529,Crimson,High,59,31875
530,Crimson,Medium,30,833093
531,Red,High,59,668039
532,Purple,High,14,611011
533,Purple,High,48,735846
534,Crimson,High,56,434438
535,Yellow,Low,65,661271
536,Purple,High,7,340345
537,Purple,High,69,619265
538,Crimson,High,15,303001
539,Green,High,52,836038
540,Purple,Low,32,767632
541,Crimson,Medium,87,404067
542,Green,Low,78,789640
543,Crimson,High,34,15028
544,Crimson,Low,29,423393
545,Yellow,Low,51,657029
546,Red,High,89,49920
547,Green,Medium,53,390163
548,Red,High,4,231310
549,Green,High,64,851514
550,Green,Medium,26,818468
551,Purple,Medium,84,502324
552,Yellow,High,5,572500
553,Yellow,Medium,88,520928
554,Crimson,High,17,92032
555,Red,Medium,68,437951
556,Crimson,High,56,616858
557,Yellow,Low,32,243709
558,Crimson,Medium,81,273528
559,Yellow,Medium,72,532075
560,Yellow,High,73,613691
561,Green,High,31,599887
562,Crimson,Low,94,374447
563,Green,High,73,210596
564,Crimson,Medium,48,323798
565,Yellow,High,99,72729
566,Yellow,Low,32,324812
567,Purple,Medium,14,252267
568,Green,High,61,815487
569,Red,Low,87,711859
570,Crimson,High,32,503907
571,Red,Medium,56,888412
572,Purple,High,28,46209
573,Yellow,Medium,43,149082
574,Green,Low,97,856050
575,Red,Low,50,89073
576,Green,Medium,46,323259
577,Yellow,Low,72,605587
578,Green,High,37,946844
579,Green,Low,2,214004
580,Crimson,Medium,17,767562
581,Red,High,15,587409
582,Purple,Low,67,24705
583,Green,High,85,721808
584,Green,Low,93,752183
585,Purple,Low,22,531240
586,Red,Medium,82,35274
587,Yellow,Low,7,92212
588,Crimson,Medium,55,565363
589,Purple,Low,49,789077
590,Green,High,26,63251
591,Yellow,Low,4,867314
592,Crimson,High,89,557705
593,Purple,Medium,26,499916
594,Green,Low,60,285873
595,Red,High,83,164908
596,Purple,Low,78,590420
597,Green,High,18,603946
598,Yellow,Low,96,862704
599,Purple,High,91,692232
600,Crimson,High,36,374909
601,Red,Low,20,618179
602,Purple,Low,3,676825
603,Purple,High,18,89285
604,Red,Medium,77,378837
605,Yellow,Medium,51,776881
606,Crimson,Medium,49,765335
607,Green,Medium,31,528781
608,Yellow,Low,97,305518
609,Green,High,18,421720
610,Crimson,Medium,12,317446
611,Yellow,Medium,91,393828
612,Purple,Medium,98,199575
613,Yellow,Medium,71,912851
614,Green,High,94,287979
615,Purple,Low,45,935292
616,Red,High,80,848979
617,Yellow,Medium,65,900982
618,Yellow,Medium,88,558692
619,Purple,Medium,16,954455
620,Yellow,Medium,45,231779
621,Purple,High,91,572399
622,Red,Low,37,471056
623,Yellow,Medium,50,284053
624,Green,High,24,898155
625,Yellow,Medium,48,633723
626,Purple,Medium,76,631470
627,Purple,Medium,4,155353
628,Green,High,51,159459
629,Green,Low,46,857367
630,Purple,High,40,725925
631,Purple,High,14,511733
632,Yellow,High,10,885996
633,Purple,High,27,23704
634,Green,High,78,716219
635,Yellow,Low,13,150846
636,Purple,Medium,4,608016
637,Red,Medium,86,607352
638,Green,High,15,502211
639,Red,High,29,777526
640,Yellow,High,78,400233
641,Green,Medium,42,422147
642,Yellow,Medium,25,233970
643,Crimson,Medium,75,78219
644,Green,High,95,165991
645,Yellow,High,91,615280
646,Red,Medium,22,737891
647,Yellow,High,43,563242
648,Purple,Low,84,655838
649,Purple,Medium,55,81712
650,Red,Medium,2,889731
651,Yellow,High,25,180438
652,Green,Low,0,278129
653,Red,Medium,95,833724
654,Yellow,Low,56,895563
655,Crimson,Low,70,872009
656,Purple,High,82,983490
657,Red,Medium,86,151485
658,Yellow,Low,62,40441
659,Crimson,Medium,46,865172
660,Purple,High,89,201929
661,Crimson,Medium,77,141165
662,Red,High,12,220321
663,Yellow,Medium,62,45235
664,Crimson,Medium,37,701906
665,Crimson,High,83,862372
666,Crimson,Low,31,15037
667,Green,Low,28,429001
668,Crimson,Medium,59,187103
669,Yellow,Medium,83,469127
670,Yellow,Medium,40,878004
671,Yellow,Low,89,521849
672,Purple,High,29,86478
673,Crimson,High,28,763156
674,Red,High,52,289025
675,Purple,Low,42,460034
676,Green,High,10,951261
677,Yellow,Low,84,543918
678,Green,Medium,17,629885
679,Purple,High,0,892519
680,Green,High,39,903666
681,Purple,Low,38,473267
682,Green,Medium,98,377177
683,Yellow,High,65,209898
684,Crimson,Low,48,773831
685,Yellow,Low,86,437546
686,Yellow,High,45,859270
687,Yellow,Medium,49,166108
688,Crimson,High,22,369119
689,Yellow,Low,92,337010
690,Purple,Low,65,693610
691,Green,Low,85,521027
692,Crimson,Medium,66,369398
693,Red,Low,32,781886
694,Purple,Medium,50,812512
695,Crimson,Low,70,927053
696,Green,Medium,35,330956
697,Crimson,High,23,852543
698,Purple,Medium,82,139018
699,Purple,High,89,515960
700,Red,Medium,79,604560
701,Yellow,High,27,13466
702,Green,Medium,85,30427
703,Purple,High,1,786077
704,Purple,Low,9,792663
705,Green,High,81,866670
706,Purple,Medium,11,572694
707,Red,Low,64,50621
708,Red,Low,67,713733
709,Yellow,High,61,474286
710,Crimson,High,54,253215
711,Green,Low,36,843705
712,Red,High,84,835510
713,Red,Low,19,252997
714,Red,Low,69,930491
715,Red,High,84,424290
716,Yellow,High,62,300183
717,Purple,Medium,68,996332
718,Red,High,41,914001
719,Yellow,Low,80,703929
720,Crimson,Low,16,664146
721,Purple,Medium,57,414316
722,Crimson,Medium,5,182366
723,Purple,Low,96,953323
724,Purple,Medium,22,280436
725,Purple,Low,3,348141
726,Yellow,High,8,924610
727,Green,Low,62,967948
728,Crimson,Medium,92,886718
729,Purple,High,41,493933
730,Purple,Low,74,607618
731,Red,Low,92,685489
732,Red,Medium,95,703004
733,Yellow,Medium,11,226800
734,Purple,Low,34,445945
735,Crimson,High,91,445024
736,Crimson,Medium,49,621784
737,Red,High,71,629507
738,Red,Medium,39,143245
739,Green,High,58,84890
740,Purple,Low,5,752000
741,Purple,High,73,934378
742,Red,Low,88,486315
743,Red,High,12,756168
744,Red,Low,97,623496
745,Green,Low,59,596049
746,Green,High,78,618704
747,Green,Medium,15,405973
748,Purple,Low,4,415336
749,Green,High,22,33842
750,Purple,Low,52,210655
751,Red,Low,66,393676
752,Purple,High,71,455678
753,Crimson,Low,72,271291
754,Yellow,Medium,5,257507
755,Red,High,39,184936
756,Crimson,Low,79,468310
757,Yellow,High,79,345508
758,Crimson,High,41,494230
759,Yellow,Medium,89,898604
760,Yellow,High,22,686467
761,Green,High,89,506518
762,Crimson,High,89,670290
763,Crimson,High,19,977260
764,Red,High,62,591596
765,Purple,Low,29,374134
766,Crimson,High,9,756341
767,Crimson,Low,11,881803
768,Red,Low,99,685525
769,Red,Medium,26,927604
770,Green,Medium,82,326086
771,Purple,High,72,84573
772,Purple,Medium,1,409253
773,Green,Low,99,851211
774,Red,High,46,35247
775,Red,Medium,55,324961
776,Red,Low,10,258867
777,Crimson,Medium,74,34813
778,Purple,High,24,844803
779,Purple,Medium,95,319498
780,Yellow,High,43,106648
781,Yellow,High,91,590350
782,Crimson,Medium,13,248873
783,Crimson,High,78,485157
784,Purple,High,55,32957
785,Yellow,High,5,519157
786,Green,High,23,48870
787,Red,Medium,42,493728
788,Purple,High,49,957353
789,Green,High,75,396030
790,Crimson,High,56,603015
791,Red,High,43,314805
792,Crimson,Low,24,575119
793,Yellow,Medium,81,662673
794,Green,Medium,21,793749
795,Red,Low,94,519638
796,Red,Medium,18,49308
797,Crimson,Low,63,144490
798,Purple,Medium,89,346458
799,Green,Medium,29,303883
800,Red,High,37,588486
801,Red,Low,49,901982
802,Yellow,Low,40,969294
803,Green,Medium,95,658776
804,Green,Low,11,499671
805,Red,High,56,927293
806,Green,Medium,63,619413
807,Green,Medium,14,386367
808,Red,High,32,530891
809,Red,Low,65,949178
810,Crimson,Low,65,784595
811,Crimson,Medium,36,81818
812,Crimson,Medium,25,522754
813,Crimson,High,76,11337
814,Green,Low,72,439531
815,Yellow,Low,50,810089
816,Red,Low,12,223379
817,Red,High,24,146317
818,Purple,High,19,823774
819,Yellow,Medium,67,276066
820,Yellow,Medium,10,535509
821,Red,Medium,7,843210
822,Yellow,Medium,52,667284
823,Purple,Low,92,197409
824,Green,Low,14,543189
825,Crimson,Low,72,706767
826,Purple,Low,46,321646
827,Crimson,High,99,477608
828,Red,High,35,685459
829,Green,Low,81,890965
830,Purple,Medium,23,477368
831,Yellow,Low,61,571316
832,Green,Medium,53,132426
833,Purple,High,12,117697
834,Green,High,45,668871
835,Red,Medium,7,610728
836,Yellow,Low,47,731569
837,Crimson,Low,39,962210
838,Crimson,Medium,94,525937
839,Crimson,Low,19,710878
840,Purple,Low,50,428545
841,Green,High,65,738199
842,Yellow,Medium,43,913093
843,Yellow,Low,82,301563
844,Purple,High,78,399166
845,Yellow,Low,89,664832
846,Yellow,Low,56,840079
847,Green,Medium,72,41649
848,Green,Low,50,116833
849,Green,High,34,719789
850,Purple,Low,90,103708
851,Purple,Medium,11,857478
852,Purple,Low,11,314942
853,Yellow,Low,36,987782
854,Crimson,Medium,49,38960
855,Yellow,Low,76,968242
856,Green,Low,81,212327
857,Crimson,Medium,95,561548
858,Red,Low,74,104617
859,Crimson,High,48,955326
860,Green,Low,74,20738
861,Green,Low,11,657019
862,Green,Medium,93,959812
863,Green,Medium,34,132857
864,Red,Medium,74,809342
865,Crimson,Medium,76,48464
866,Red,Low,39,799836
867,Yellow,High,10,71302
868,Crimson,High,2,545113
869,Yellow,High,75,964514
870,Yellow,Medium,46,127508
871,Yellow,Low,51,323095
872,Green,Low,41,438675
873,Crimson,Low,91,117568
874,Purple,High,3,955228
875,Crimson,High,16,344117
876,Green,Medium,63,284548
877,Crimson,High,64,838909
878,Green,High,13,478528
879,Crimson,High,38,835453
880,Crimson,High,4,806626
881,Yellow,Low,3,872387
882,Red,High,19,446785
883,Crimson,High,81,906071
884,Purple,High,16,779882
885,Red,High,71,447681
886,Purple,High,24,489214
887,Crimson,High,11,113709
888,Green,Medium,22,653587
889,Crimson,Medium,60,149338
890,Yellow,Low,91,894308
891,Green,Medium,2,491770
892,Purple,Low,8,644177
893,Crimson,Medium,72,835207
894,Crimson,Medium,89,79140
895,Green,Medium,38,78816
896,Crimson,Low,52,670522
897,Red,Low,97,703746
898,Purple,Medium,88,386860
899,Crimson,Medium,63,306346
900,Crimson,Low,21,766567
901,Green,Low,4,308164
902,Yellow,Medium,31,147520
903,Purple,Medium,75,57042
904,Red,Medium,37,36214
905,Red,Medium,7,35353
906,Green,Low,22,148498
907,Red,High,42,808068
908,Yellow,Low,59,664188
909,Crimson,Low,95,499193
910,Purple,High,54,776809
911,Crimson,High,73,232069
912,Green,Low,51,534900
913,Crimson,Low,82,735082
914,Yellow,High,23,101204
915,Red,High,83,67961
916,Purple,High,25,52506
917,Yellow,Low,57,358172
918,Green,Medium,69,720248
919,Purple,High,89,184305
920,Crimson,Medium,45,823477
921,Green,Medium,88,686007
922,Crimson,Low,51,150192
923,Yellow,Low,59,855178
924,Yellow,Medium,44,346794
925,Green,Low,26,337779
926,Red,High,43,721897
927,Green,High,32,733250
928,Red,Medium,30,266344
929,Green,Medium,14,533474
930,Green,High,71,458276
931,Purple,High,96,449006
932,Red,Medium,61,468396
933,Red,High,1,535896
934,Yellow,Low,47,457762
935,Crimson,Low,43,40105
936,Yellow,Medium,90,494248
937,Red,Low,15,345399
938,Purple,Medium,68,807930
939,Red,Low,74,387116
940,Crimson,Low,85,302504
941,Crimson,Medium,39,677282
942,Green,High,94,468435
943,Purple,Medium,86,647100
944,Yellow,Medium,0,58851
945,Purple,High,81,856125
946,Green,Low,58,381510
947,Red,Medium,12,354064
948,Crimson,Medium,91,69530
949,Red,Medium,43,522707
950,Red,Low,54,466582
951,Green,Low,47,507371
952,Yellow,High,22,974451
953,Red,Medium,31,446665
954,Crimson,High,34,399062
955,Crimson,High,98,324259
956,Yellow,Medium,42,592818
957,Yellow,Medium,68,12098
958,Green,High,62,385026
959,Purple,Low,36,572022
960,Crimson,High,83,470820
961,Red,Low,44,475579
962,Green,Low,81,416134
963,Yellow,High,70,266128
964,Red,Medium,6,310516
965,Purple,High,48,557181
966,Yellow,High,9,350073
967,Purple,Low,28,181714
968,Purple,High,77,395249
969,Crimson,Medium,56,492956
970,Crimson,High,9,634399
971,Purple,High,85,488326
972,Crimson,Low,66,942385
973,Yellow,Medium,9,102311
974,Purple,Medium,36,372380
975,Purple,Low,28,964245
976,Green,Medium,64,959286
977,Green,Medium,74,333329
978,Green,High,13,993306
979,Green,Low,2,447254
980,Red,Medium,37,894605
981,Green,Low,71,211990
982,Yellow,High,87,575862
983,Red,Medium,94,366262
984,Yellow,Low,81,317531
985,Green,Medium,3,72834
986,Purple,Low,98,527461
987,Red,High,80,496782
988,Purple,High,82,94338
989,Yellow,Medium,50,885186
990,Yellow,Medium,61,300050
991,Red,Low,82,607324
992,Yellow,Medium,28,113069
993,Red,High,35,785689
994,Yellow,High,53,280963
