ID,Age,Gender,Income,Education,Region
114,38,Female,139880,Bachelors,North
115,53,Other,50425,Masters,East
116,76,Other,59206,High School,East
117,41,Other,87124,Masters,East
118,33,Other,118017,High School,North
119,31,Male,71544,Masters,West
120,71,Other,68447,PhD,South
121,39,Other,96693,High School,South
122,66,Other,149540,PhD,East
123,67,Other,71615,PhD,South
124,23,Other,28947,PhD,North
125,59,Other,132843,PhD,West
126,53,Female,51397,PhD,West
127,18,Female,116007,PhD,North
128,49,Male,105654,Masters,West
129,23,Female,81052,Bachelors,North
130,48,Male,45898,High School,North
131,18,Female,75483,Masters,South
132,67,Female,96511,Masters,North
133,68,Female,134998,Masters,South
134,54,Male,108009,Masters,West
135,52,Male,36243,Bachelors,East
136,66,Female,99283,Bachelors,West
137,47,Female,112754,High School,South
138,21,Male,48439,High School,North
139,52,Male,100979,Masters,West
140,60,Female,42297,High School,South
141,31,Female,107865,PhD,West
142,66,Female,76517,Masters,East
143,57,Female,141177,High School,East
144,39,Male,69453,High School,West
145,27,Other,134031,PhD,East
146,18,Male,115832,Masters,South
147,28,Male,112083,Bachelors,North
148,68,Other,21339,Masters,North
149,61,Other,103884,Bachelors,West
150,76,Male,103098,High School,West
151,41,Male,56472,Bachelors,South
152,77,Other,137365,Masters,North
153,20,Other,84427,High School,North
154,75,Other,139417,Bachelors,South
155,52,Male,44992,Bachelors,East
156,53,Female,111934,Masters,North
157,48,Other,25774,High School,West
158,77,Female,105319,High School,East
159,21,Female,147072,Bachelors,North
160,36,Male,38109,Bachelors,East
161,64,Male,53281,Bachelors,East
162,53,Female,56342,PhD,North
163,38,Male,100303,High School,North
164,35,Other,93084,Bachelors,South
165,68,Other,137101,Bachelors,West
166,45,Female,129686,High School,North
167,32,Female,43723,PhD,North
168,59,Other,104442,High School,West
169,76,Other,143919,PhD,South
170,19,Female,126308,Masters,East
171,54,Other,37610,High School,West
172,28,Male,42613,High School,South
173,40,Male,48327,Masters,East
174,61,Female,118410,High School,West
175,58,Male,93195,Masters,South
176,29,Female,132222,PhD,North
177,20,Male,89888,High School,North
178,69,Male,128113,Masters,East
179,34,Female,72410,Bachelors,North
180,50,Other,47660,PhD,East
181,72,Female,140027,PhD,South
182,18,Female,100683,Bachelors,North
183,56,Other,25046,Bachelors,East
184,37,Male,116637,Masters,West
185,64,Female,110543,Bachelors,South
186,60,Female,94518,High School,North
187,69,Female,67903,Masters,North
188,74,Male,98196,PhD,East
189,78,Male,133698,High School,West
190,58,Other,144898,High School,North
191,31,Female,81226,PhD,East
192,48,Other,88932,High School,North
193,42,Other,56730,PhD,South
194,79,Female,135518,PhD,North
195,20,Female,122180,PhD,East
196,21,Other,114035,PhD,East
197,48,Male,112332,Masters,East
198,52,Other,28913,High School,West
199,61,Male,96016,Bachelors,West
200,31,Male,101263,Masters,South
201,66,Other,126694,Bachelors,North
202,58,Female,44838,Masters,West
203,26,Other,89040,High School,North
204,37,Other,148393,PhD,North
205,49,Male,142396,Bachelors,East
206,26,Other,138861,Masters,East
207,44,Female,83160,High School,North
208,20,Other,22441,High School,East
209,74,Other,118773,Masters,North
210,70,Male,79202,PhD,North
211,21,Female,133161,Masters,East
212,62,Female,148110,Masters,West
213,79,Male,125464,Masters,North
214,32,Female,21188,PhD,West
215,50,Female,126780,Bachelors,West
216,22,Other,74772,Masters,East
217,21,Male,35424,High School,West
218,63,Female,102890,Bachelors,West
219,29,Male,131484,High School,West
220,78,Other,49837,High School,West
221,40,Female,51979,Masters,North
222,31,Male,78882,Bachelors,East
223,75,Female,88005,Masters,East
224,63,Male,109031,High School,East
225,29,Other,125559,Masters,North
226,74,Other,54526,PhD,North
227,34,Female,56817,PhD,South
228,42,Female,78883,Masters,North
229,47,Male,36495,Masters,North
230,39,Female,99842,Masters,West
231,64,Other,92528,Masters,North
232,43,Other,87315,Masters,South
233,34,Other,90226,PhD,South
234,78,Female,106834,Bachelors,West
235,75,Male,71133,Masters,North
236,72,Other,88074,Bachelors,North
237,71,Other,82418,Masters,East
238,79,Female,97852,Bachelors,North
239,37,Female,54595,PhD,West
240,51,Female,143189,High School,East
241,58,Female,64826,Bachelors,North
242,50,Male,88977,PhD,East
243,54,Female,25479,Bachelors,South
244,77,Male,25674,PhD,West
245,77,Male,81230,High School,South
246,75,Other,114405,PhD,North
247,24,Other,141372,Masters,South
248,39,Female,110239,Masters,South
249,49,Other,77515,Bachelors,East
250,31,Male,94835,Masters,West
251,25,Female,73310,Masters,West
252,74,Female,117098,High School,South
253,42,Female,64234,Masters,North
254,33,Female,75945,Masters,North
255,59,Other,103163,Bachelors,South
256,36,Female,90371,Masters,North
257,58,Male,133483,Masters,South
258,72,Female,39296,PhD,West
259,33,Other,147142,PhD,North
260,29,Male,140863,Bachelors,East
261,56,Other,97555,Bachelors,South
262,65,Other,110006,Bachelors,North
263,47,Other,88990,Masters,East
264,75,Other,116091,Masters,West
265,19,Female,124249,Masters,South
266,49,Other,141877,Masters,North
267,72,Female,81153,Masters,West
268,62,Female,23901,Masters,South
269,42,Other,52236,PhD,East
270,79,Male,122185,Bachelors,South
271,42,Other,116627,Bachelors,West
272,21,Other,106891,Masters,East
273,36,Female,79747,High School,East
274,65,Female,112410,PhD,West
275,21,Female,27831,Bachelors,North
276,60,Female,43805,PhD,East
277,30,Other,88328,Masters,East
278,56,Male,124244,PhD,North
279,53,Male,85815,Bachelors,East
280,40,Male,94874,PhD,North
281,79,Male,138600,PhD,West
282,23,Female,97353,High School,West
283,41,Other,137997,PhD,North
284,61,Female,33116,Bachelors,East
285,50,Female,86351,Bachelors,South
286,29,Other,62639,Bachelors,East
287,58,Other,82500,Bachelors,South
288,38,Other,91617,Masters,East
289,28,Female,120958,High School,West
290,72,Male,95749,Masters,North
291,61,Female,37194,Bachelors,East
292,55,Female,44318,PhD,North
293,79,Other,118816,Bachelors,South
294,46,Female,52723,Bachelors,East
295,65,Male,137638,High School,South
296,58,Male,24829,High School,East
297,20,Female,55907,PhD,North
298,45,Other,89919,Masters,North
299,37,Female,22845,Bachelors,East
300,43,Male,91696,High School,South
301,41,Male,46563,PhD,East
302,71,Female,51002,Bachelors,East
303,69,Male,40477,Masters,East
304,64,Female,144166,Masters,South
305,38,Male,40713,High School,West
306,71,Other,64517,Masters,East
307,47,Male,40747,PhD,West
308,21,Female,23409,High School,North
309,53,Female,31063,Bachelors,East
310,57,Other,123293,High School,East
311,27,Male,29515,PhD,North
312,27,Female,59235,PhD,West
313,59,Male,32820,Masters,East
314,41,Other,65531,Bachelors,South
315,21,Female,20511,PhD,West
316,64,Other,137367,Masters,West
317,44,Female,132092,Bachelors,East
318,68,Male,24366,Bachelors,South
319,62,Female,36654,PhD,West
320,21,Other,46704,Bachelors,East
321,49,Female,68611,Bachelors,West
322,27,Other,85983,Masters,East
323,28,Female,57237,High School,East
324,45,Other,134406,Bachelors,South
325,63,Male,118347,Masters,North
326,25,Female,84667,Masters,West
327,57,Male,60294,Masters,West
328,79,Female,64759,PhD,West
329,39,Female,123316,PhD,West
330,51,Male,147995,High School,West
331,62,Other,55351,PhD,West
332,52,Male,123714,Masters,East
333,52,Male,121664,Masters,East
334,42,Female,22881,High School,East
335,51,Other,148278,Masters,North
336,23,Other,88373,PhD,West
337,58,Male,81881,Masters,East
338,54,Male,71780,High School,South
339,18,Other,109901,High School,West
340,29,Male,119304,High School,West
341,52,Female,146887,Bachelors,North
342,23,Female,41272,PhD,South
343,71,Male,63350,High School,South
344,34,Female,34609,Bachelors,North
345,26,Other,105940,PhD,North
346,79,Male,146426,Bachelors,East
347,19,Female,122024,PhD,North
348,35,Male,112933,PhD,West
349,66,Other,41729,PhD,South
350,53,Female,130934,High School,East
351,74,Other,143130,PhD,North
352,45,Male,31858,Bachelors,South
353,58,Male,75050,Masters,North
354,70,Female,120926,Masters,East
355,54,Other,54333,PhD,West
356,66,Male,52907,High School,South
357,43,Other,95934,PhD,North
358,21,Other,61287,Bachelors,East
359,57,Female,56410,Masters,West
360,78,Other,98814,Bachelors,North
361,53,Male,116298,Bachelors,West
362,68,Male,44533,Masters,West
363,48,Female,42855,High School,East
364,47,Other,110777,Bachelors,South
365,67,Male,53260,Masters,South
366,51,Male,135510,High School,North
367,36,Female,139926,Bachelors,South
368,35,Other,36723,Bachelors,North
369,47,Other,50745,Bachelors,North
370,38,Other,79565,Bachelors,South
371,79,Male,54169,PhD,North
372,20,Male,135178,High School,West
373,23,Female,27299,Bachelors,North
374,55,Male,20884,Masters,South
375,30,Female,59892,PhD,West
376,62,Female,24081,Masters,East
377,71,Other,20851,Masters,North
378,79,Female,104217,High School,North
379,20,Other,22597,Masters,North
380,65,Other,149185,PhD,South
381,45,Male,108508,Bachelors,West
382,39,Male,135564,Bachelors,East
383,57,Female,64761,Masters,South
384,57,Female,78887,High School,South
385,29,Female,72156,High School,South
386,40,Female,50885,Bachelors,East
387,48,Male,35956,Bachelors,South
388,35,Female,76314,Masters,South
389,24,Other,139138,High School,South
390,25,Male,50992,Masters,East
391,36,Other,66765,Bachelors,East
392,46,Female,21512,Bachelors,East
393,61,Male,142023,Masters,East
394,37,Other,60481,High School,South
395,67,Male,109953,Bachelors,East
396,59,Other,46433,Bachelors,West
397,47,Male,75497,High School,West
398,64,Other,42615,Bachelors,North
399,39,Other,58212,High School,South
400,27,Other,132920,High School,North
401,43,Male,45606,Bachelors,East
402,68,Other,77185,Masters,North
403,50,Other,54162,Bachelors,South
404,45,Female,74015,Bachelors,South
405,27,Other,31836,Bachelors,West
406,46,Female,51960,PhD,South
407,61,Male,104029,Bachelors,North
408,35,Other,109076,Masters,South
409,59,Male,109275,Masters,South
410,76,Female,138263,Masters,North
411,18,Female,68761,High School,East
412,40,Male,63466,PhD,South
413,34,Other,41277,PhD,East
414,60,Male,86799,Masters,East
415,54,Female,143896,PhD,South
416,48,Female,56892,High School,North
417,42,Other,43704,Bachelors,East
418,70,Female,113571,Masters,West
419,21,Other,57330,PhD,North
420,69,Other,79029,Masters,South
421,26,Other,39718,Masters,South
422,74,Female,67188,Masters,South
423,45,Male,135989,Masters,South
424,47,Male,23703,Bachelors,South
425,77,Female,84795,Masters,West
426,64,Male,55738,PhD,South
427,41,Male,126457,PhD,North
428,50,Female,81888,High School,South
429,37,Male,116622,High School,West
430,26,Female,145315,PhD,East
431,25,Other,148821,Masters,East
432,41,Other,26949,PhD,South
433,31,Male,34343,High School,West
434,76,Female,119704,Masters,North
435,35,Other,134000,PhD,South
436,74,Female,125931,Bachelors,South
437,70,Female,71851,PhD,South
438,73,Female,46604,High School,South
439,18,Male,67490,PhD,North
440,29,Other,125782,Masters,West
441,46,Male,29733,PhD,West
442,54,Female,80177,High School,East
443,43,Other,77082,PhD,East
444,50,Male,126365,Masters,East
445,60,Other,93294,PhD,East
446,32,Male,99749,High School,East
447,40,Female,149870,Bachelors,East
448,46,Other,33393,PhD,North
449,38,Female,127753,PhD,South
450,36,Female,85646,High School,North
451,22,Other,55436,High School,North
452,40,Other,86590,PhD,North
453,53,Male,138626,High School,West
454,76,Male,95523,High School,North
455,37,Female,85664,Masters,West
456,25,Male,38269,PhD,North
457,26,Other,96076,PhD,North
458,79,Other,149708,Bachelors,West
459,31,Other,103180,Bachelors,South
460,23,Female,40351,High School,North
461,18,Male,112787,High School,North
462,26,Male,47581,PhD,East
463,33,Male,71454,Bachelors,East
464,33,Male,121376,PhD,South
465,71,Male,146737,PhD,West
466,29,Male,71613,PhD,North
467,22,Male,70779,Bachelors,East
468,57,Female,98754,PhD,North
469,46,Male,21010,Bachelors,East
470,63,Male,141843,Bachelors,West
471,44,Male,94980,High School,West
472,28,Female,53979,PhD,East
473,70,Male,98869,Bachelors,East
474,64,Female,65119,High School,East
475,67,Female,75006,High School,North
476,45,Female,134168,Bachelors,West
477,69,Other,78981,Masters,South
478,53,Male,100529,High School,East
479,59,Other,141894,Bachelors,East
480,36,Male,128239,High School,South
481,71,Female,96673,Masters,North
482,52,Female,34479,PhD,East
483,69,Male,47625,Bachelors,South
484,48,Male,125174,PhD,North
485,71,Female,70925,High School,North
486,76,Male,44081,Masters,West
487,61,Male,103180,Masters,West
488,73,Other,62933,High School,North
489,78,Female,35766,Bachelors,North
490,78,Other,99309,Bachelors,North
491,36,Female,120978,High School,East
492,63,Other,113359,Masters,East
493,41,Male,111842,PhD,North
494,19,Male,77611,Masters,South
495,24,Female,87465,Masters,North
496,60,Female,83986,Masters,East
497,71,Female,145736,High School,South
498,66,Other,64982,PhD,East
499,48,Female,20947,Masters,East
500,77,Male,48719,High School,South
501,34,Female,110884,Bachelors,North
502,44,Male,148906,Bachelors,North
503,78,Other,64529,Masters,East
504,53,Male,34590,Masters,South
505,76,Male,147622,PhD,South
506,67,Other,64406,Masters,East
507,60,Male,72652,Bachelors,South
508,27,Other,133992,High School,East
509,62,Other,42728,High School,South
510,31,Other,36876,PhD,North
511,75,Male,130309,High School,East
512,24,Other,65074,PhD,West
513,56,Female,148002,Masters,South
514,57,Male,128741,High School,South
515,26,Male,101117,PhD,West
516,31,Female,36889,PhD,South
517,74,Female,70405,Masters,East
518,25,Female,83076,Bachelors,South
519,34,Female,53130,High School,South
520,74,Other,22205,Masters,South
521,40,Male,62139,High School,West
522,74,Male,43185,Bachelors,East
523,33,Female,114650,High School,East
524,43,Other,69547,PhD,West
525,26,Other,23377,High School,West
526,53,Female,99176,PhD,North
527,24,Female,24440,Bachelors,East
528,35,Female,78883,PhD,East
529,25,Female,136336,Masters,East
530,38,Other,149035,PhD,North
531,43,Male,138585,PhD,North
532,20,Other,121810,Masters,South
533,78,Male,36015,PhD,West
534,34,Male,48601,PhD,West
535,74,Male,69283,Masters,East
536,68,Other,44438,PhD,South
537,63,Female,76292,PhD,South
538,41,Female,26076,High School,South
539,42,Other,62919,High School,East
540,22,Other,33822,PhD,East
541,54,Male,144885,Masters,North
542,62,Other,73405,Masters,West
543,67,Male,39381,High School,North
544,41,Other,65123,Masters,South
545,48,Female,128088,Masters,South
546,72,Female,75499,High School,West
547,43,Female,76695,Bachelors,East
548,38,Other,41583,High School,North
549,51,Male,112461,Masters,West
550,55,Female,24698,PhD,South
551,75,Male,120431,Masters,South
552,41,Female,76545,PhD,West
553,45,Male,41515,PhD,North
554,47,Other,60439,PhD,East
555,51,Other,79525,Bachelors,South
556,69,Male,37310,Bachelors,East
557,71,Other,113370,High School,South
558,73,Male,54372,Bachelors,East
559,69,Other,110427,PhD,South
560,40,Other,61504,Masters,South
561,72,Male,73029,Masters,West
562,25,Female,60107,PhD,South
563,59,Female,28829,Masters,East
564,67,Female,101212,Masters,North
565,27,Male,65613,Bachelors,West
566,72,Female,91965,PhD,East
567,18,Other,102170,Masters,West
568,37,Female,94907,Masters,East
569,74,Other,48391,Masters,West
570,54,Female,69947,PhD,East
571,35,Female,82493,PhD,South
572,38,Male,28318,High School,West
573,71,Other,124520,High School,South
574,66,Other,90731,Masters,West
575,21,Other,79489,Bachelors,West
576,60,Female,23278,Bachelors,East
577,19,Female,113734,PhD,East
578,38,Male,31531,PhD,South
579,54,Male,89066,High School,West
580,22,Male,136470,High School,North
581,34,Female,28025,PhD,South
582,66,Male,140864,Bachelors,West
583,65,Other,29906,High School,West
584,28,Male,27208,High School,West
585,63,Female,127718,Masters,South
586,58,Male,26430,Bachelors,East
587,48,Other,103606,Masters,West
588,45,Other,94875,High School,East
589,61,Other,40043,High School,South
590,49,Female,49987,High School,East
591,38,Other,24564,High School,South
592,24,Male,104932,PhD,North
593,27,Male,62559,Bachelors,East
594,78,Other,24868,Bachelors,North
595,45,Female,49361,Bachelors,South
596,65,Other,123284,Bachelors,North
597,53,Male,127677,Masters,East
598,37,Male,140511,Masters,North
599,30,Other,35165,Masters,East
600,36,Female,20603,High School,North
601,67,Male,117903,PhD,East
602,28,Female,43763,Bachelors,South
603,52,Other,77704,PhD,North
604,51,Male,124538,Bachelors,North
605,61,Male,130106,Bachelors,West
606,21,Male,143465,Masters,North
607,30,Male,58834,High School,West
608,54,Male,30463,High School,East
609,76,Male,40318,PhD,West
610,19,Other,128305,High School,North
611,67,Male,144615,Masters,North
612,18,Male,93528,Bachelors,West
613,57,Other,35347,PhD,East
614,42,Male,51523,Masters,East
615,76,Male,93929,Bachelors,West
616,54,Other,144636,High School,North
617,53,Male,32079,PhD,North
618,23,Male,22096,PhD,East
619,24,Other,147351,Bachelors,North
620,21,Male,104935,High School,North
621,52,Other,43157,PhD,West
622,75,Male,47203,High School,West
623,58,Male,72859,High School,South
624,78,Other,44263,Bachelors,West
625,51,Female,120670,Masters,South
626,46,Other,100840,High School,West
627,22,Female,71493,PhD,West
628,44,Female,88613,PhD,North
629,50,Male,126081,PhD,South
630,74,Other,85591,PhD,South
631,63,Female,93180,Bachelors,East
632,69,Female,115662,High School,West
633,27,Female,87622,Bachelors,West
634,71,Female,98385,Masters,North
635,23,Other,87848,High School,North
636,51,Male,117914,High School,South
637,25,Male,111329,High School,South
638,79,Female,58210,Masters,North
639,48,Male,74334,Bachelors,East
640,26,Female,79408,High School,North
641,72,Male,41693,High School,East
642,38,Male,147170,PhD,North
643,25,Other,101163,Masters,North
644,21,Female,141247,PhD,East
645,39,Other,89002,PhD,East
646,45,Male,56884,Bachelors,East
647,62,Female,127620,PhD,West
648,21,Female,58670,Masters,West
649,56,Female,23704,Masters,East
650,38,Female,85588,High School,West
651,25,Female,126951,Bachelors,East
652,37,Female,101565,High School,East
653,49,Male,136613,PhD,East
654,18,Female,105262,High School,South
655,23,Male,95378,Masters,North
656,45,Other,102670,Masters,East
657,61,Male,80367,PhD,West
658,48,Other,20819,High School,West
659,27,Female,27200,Masters,West
660,37,Male,44983,Masters,South
661,25,Male,107801,Bachelors,North
662,39,Male,78203,High School,West
663,55,Other,90406,High School,North
664,46,Female,148713,Bachelors,North
665,26,Male,79512,Masters,South
666,61,Other,115297,Bachelors,South
667,64,Male,86635,Bachelors,North
668,18,Male,143735,Bachelors,South
669,58,Male,22556,Masters,South
670,69,Male,91366,PhD,East
671,56,Other,129352,PhD,West
672,43,Female,146652,PhD,South
673,28,Female,139844,Bachelors,North
674,69,Male,131500,PhD,North
675,52,Other,41411,High School,South
676,77,Female,44638,PhD,South
677,41,Female,119781,Masters,North
678,50,Male,83294,Bachelors,West
679,37,Male,85978,Bachelors,North
680,44,Other,106604,PhD,South
681,32,Female,80946,Bachelors,South
682,50,Male,128928,Bachelors,East
683,69,Other,119329,Bachelors,North
684,24,Other,34036,Bachelors,South
685,51,Other,37101,High School,West
686,62,Female,29818,Masters,South
687,77,Female,66192,High School,South
688,75,Female,117387,PhD,North
689,68,Other,66229,PhD,East
690,63,Other,148590,Bachelors,West
691,59,Male,148269,Bachelors,South
692,22,Male,123400,PhD,East
693,75,Female,137827,Bachelors,North
694,47,Female,38281,High School,West
695,45,Male,75697,Bachelors,West
696,35,Female,149285,High School,East
697,53,Male,101946,Masters,East
698,20,Male,149727,High School,East
699,38,Male,50107,PhD,North
700,63,Other,118283,PhD,North
701,75,Female,95501,PhD,West
702,33,Other,139309,High School,West
703,73,Female,149837,Masters,South
704,54,Other,80848,PhD,South
705,59,Female,94296,Bachelors,South
706,22,Female,93786,High School,East
707,67,Male,113201,Masters,East
708,68,Other,49910,High School,East
709,31,Other,35199,High School,North
710,48,Female,84473,Masters,South
711,63,Other,59132,High School,West
712,41,Female,117485,PhD,North
713,52,Female,110503,Masters,East
714,53,Male,128826,High School,West
715,27,Female,124721,Bachelors,South
716,44,Other,92388,Masters,North
717,73,Male,140363,Bachelors,West
718,44,Female,47055,High School,West
719,72,Male,64766,Bachelors,South
720,40,Male,75421,Masters,South
721,30,Female,37756,High School,South
722,33,Other,39961,Masters,East
723,52,Female,28008,High School,East
724,44,Female,105690,PhD,South
725,69,Female,93499,PhD,West
726,56,Female,63014,PhD,East
727,64,Female,53671,Bachelors,West
728,34,Other,121045,Bachelors,North
729,79,Male,32151,PhD,North
730,78,Other,33816,Masters,North
731,65,Female,95802,Masters,East
732,76,Male,122011,High School,South
733,58,Male,139499,Masters,North
734,18,Male,68933,Masters,North
735,28,Other,135805,Bachelors,West
736,29,Other,40913,Masters,East
737,31,Other,35892,Masters,East
738,25,Female,73725,High School,West
739,48,Other,39319,PhD,East
740,24,Other,92120,PhD,West
741,63,Other,110045,Bachelors,South
742,71,Male,49111,Bachelors,West
743,48,Male,147708,High School,South
744,33,Female,143031,Bachelors,East
745,59,Male,71897,High School,North
746,56,Female,140457,PhD,East
747,71,Male,22688,PhD,North
748,61,Female,117894,High School,East
749,36,Female,102323,PhD,West
750,25,Male,133095,Masters,West
751,46,Male,39506,Masters,South
752,19,Other,149574,PhD,West
753,59,Other,84451,High School,North
754,20,Female,83228,Masters,West
755,68,Female,121790,Masters,South
756,46,Female,23621,PhD,North
757,32,Male,75224,Bachelors,North
758,55,Male,21918,Bachelors,East
759,45,Other,122377,PhD,North
760,72,Male,32933,PhD,West
761,54,Female,130651,Masters,East
762,49,Other,28144,High School,South
763,47,Male,74746,High School,East
764,68,Female,106461,Masters,South
765,78,Male,116031,Masters,South
766,64,Male,20966,High School,East
767,47,Male,83833,Bachelors,North
768,68,Female,23275,Bachelors,West
769,51,Female,62641,High School,South
770,30,Male,137791,PhD,North
771,50,Female,41151,PhD,South
772,59,Male,138868,Masters,West
773,34,Other,40570,Bachelors,South
774,20,Female,49735,PhD,South
775,26,Male,53525,PhD,East
776,69,Male,136914,PhD,East
777,79,Male,70762,High School,South
778,28,Other,67398,Masters,West
779,66,Female,59492,Masters,East
780,44,Male,96155,Bachelors,East
781,45,Male,65607,PhD,South
782,74,Male,89759,Masters,South
783,74,Female,97007,High School,West
784,19,Other,69165,High School,East
785,18,Other,78531,High School,East
786,23,Male,61446,PhD,South
787,42,Male,144795,High School,East
788,52,Female,105387,PhD,South
789,33,Male,20359,Masters,North
790,21,Other,40811,High School,South
791,78,Female,75280,PhD,South
792,64,Female,99670,Bachelors,South
793,55,Male,50116,Masters,North
794,61,Other,57970,Masters,South
795,37,Female,112363,PhD,South
796,42,Female,104659,PhD,South
797,24,Male,91842,Masters,North
798,38,Other,140762,PhD,North
799,24,Other,118384,High School,West
800,46,Female,118844,PhD,East
801,69,Other,133033,Masters,North
802,24,Male,148869,High School,South
803,20,Male,114216,PhD,South
804,46,Female,130737,High School,West
805,46,Female,83216,PhD,East
806,56,Other,44812,Masters,West
807,55,Male,111356,Masters,East
808,77,Other,46265,High School,South
809,23,Other,23422,Masters,West
810,63,Female,129691,Masters,East
811,27,Male,52869,High School,North
812,54,Male,58587,High School,West
813,72,Other,78747,Masters,South
814,31,Male,77310,High School,West
815,39,Male,41497,High School,South
816,77,Other,49755,PhD,North
817,49,Female,62170,Bachelors,South
818,35,Female,56114,Masters,South
819,53,Female,92204,Masters,North
820,63,Other,22945,PhD,East
821,69,Male,33595,Masters,South
822,76,Other,139306,Masters,North
823,26,Other,30179,Masters,North
824,43,Female,95709,High School,East
825,39,Male,53552,Masters,West
826,63,Female,117563,Masters,West
827,55,Male,71836,Bachelors,West
828,40,Male,56614,PhD,East
829,34,Female,43040,PhD,South
830,43,Female,42535,High School,North
831,64,Other,149689,Masters,South
832,73,Male,140899,Masters,West
833,55,Male,54619,Masters,West
834,19,Male,138520,Masters,North
835,23,Male,108436,High School,North
836,24,Male,131103,Bachelors,South
837,30,Other,59332,PhD,South
838,44,Male,133068,Bachelors,West
839,28,Other,56565,Masters,North
840,77,Female,84113,Bachelors,North
841,72,Other,103702,Bachelors,West
842,32,Other,116767,PhD,West
843,26,Other,39656,Bachelors,West
844,25,Female,51343,Bachelors,West
845,63,Male,72390,Bachelors,South
846,23,Other,120266,High School,East
847,65,Female,104961,High School,West
848,77,Other,142532,High School,North
849,60,Other,42596,Bachelors,East
850,21,Female,81531,High School,West
851,28,Other,61741,Bachelors,South
852,68,Other,117933,Bachelors,West
853,75,Male,129481,High School,West
854,45,Female,36712,Masters,West
855,43,Other,108710,Bachelors,East
856,21,Female,95102,Bachelors,East
857,79,Female,45740,PhD,West
858,32,Male,127106,High School,North
859,36,Male,103843,PhD,North
